msa_fips,msa_name,industry_code,industry_title,bls_employment,year,qtr,two_digit_industry_code,ici
C4378,"South Bend-Mishawaka, IN-MI",1111,Oilseed and grain farming,139,2019,4,11,-1.1258492111206182
C4378,"South Bend-Mishawaka, IN-MI",1112,Vegetable and melon farming,0,2019,4,11,-1.418886153124403
C4378,"South Bend-Mishawaka, IN-MI",1113,Fruit and tree nut farming,0,2019,4,11,-1.4751127073099626
C4378,"South Bend-Mishawaka, IN-MI",1114,Greenhouse and nursery production,53,2019,4,11,-1.080583550920658
C4378,"South Bend-Mishawaka, IN-MI",1119,Other crop farming,22,2019,4,11,-1.2121674164540197
C4378,"South Bend-Mishawaka, IN-MI",1121,Cattle ranching and farming,0,2019,4,11,-1.2669658770421377
C4378,"South Bend-Mishawaka, IN-MI",1122,Hog and pig farming,67,2019,4,11,-0.5628733842184307
C4378,"South Bend-Mishawaka, IN-MI",1123,Poultry and egg production,0,2019,4,11,-0.02205219537832721
C4378,"South Bend-Mishawaka, IN-MI",1129,Other animal production,0,2019,4,11,-0.6557069915563958
C4378,"South Bend-Mishawaka, IN-MI",1133,Logging,0,2019,4,11,-0.940454404079971
C4378,"South Bend-Mishawaka, IN-MI",1151,Support activities for crop production,10,2019,4,11,-1.3208626527426492
C4378,"South Bend-Mishawaka, IN-MI",1152,Support activities for animal production,0,2019,4,11,-0.6426821495695106
C4378,"South Bend-Mishawaka, IN-MI",1153,Support activities for forestry,0,2019,4,11,-0.4502455791321016
C4378,"South Bend-Mishawaka, IN-MI",2123,Nonmetallic mineral mining and quarrying,0,2019,4,21,-0.7741929566715928
C4378,"South Bend-Mishawaka, IN-MI",2131,Support activities for mining,0,2019,4,21,-0.7516733103589319
C4378,"South Bend-Mishawaka, IN-MI",2211,Power generation and supply,288,2019,4,22,-0.348763017544497
C4378,"South Bend-Mishawaka, IN-MI",2212,Natural gas distribution,0,2019,4,22,0.5772460690906783
C4378,"South Bend-Mishawaka, IN-MI",2213,"Water, sewage and other systems",0,2019,4,22,-0.8475228492337491
C4378,"South Bend-Mishawaka, IN-MI",2361,Residential building construction,570,2019,4,23,-1.0455294152916759
C4378,"South Bend-Mishawaka, IN-MI",2362,Nonresidential building construction,530,2019,4,23,-0.9627517521347618
C4378,"South Bend-Mishawaka, IN-MI",2371,Utility system construction,0,2019,4,23,-0.8619240666410107
C4378,"South Bend-Mishawaka, IN-MI",2372,Land subdivision,0,2019,4,23,-0.14030072059186557
C4378,"South Bend-Mishawaka, IN-MI",2373,"Highway, street, and bridge construction",0,2019,4,23,-0.6516633682650346
C4378,"South Bend-Mishawaka, IN-MI",2379,Other heavy construction,0,2019,4,23,-0.26262192212578434
C4378,"South Bend-Mishawaka, IN-MI",2381,Building foundation and exterior contractors,773,2019,4,23,-1.1378637269257144
C4378,"South Bend-Mishawaka, IN-MI",2382,Building equipment contractors,2146,2019,4,23,-0.9915637924295634
C4378,"South Bend-Mishawaka, IN-MI",2383,Building finishing contractors,587,2019,4,23,-0.9467111678815718
C4378,"South Bend-Mishawaka, IN-MI",2389,Other specialty trade contractors,250,2019,4,23,-1.1181838485879536
C4378,"South Bend-Mishawaka, IN-MI",3111,Animal food manufacturing,0,2019,4,31,-0.7278721131701201
C4378,"South Bend-Mishawaka, IN-MI",3112,Grain and oilseed milling,0,2019,4,31,0.08723753969954895
C4378,"South Bend-Mishawaka, IN-MI",3113,Sugar and confectionery product manufacturing,0,2019,4,31,0.3967168873285617
C4378,"South Bend-Mishawaka, IN-MI",3115,Dairy product manufacturing,0,2019,4,31,0.04778556094982789
C4378,"South Bend-Mishawaka, IN-MI",3118,Bakeries and tortilla manufacturing,0,2019,4,31,-0.08748396995220711
C4378,"South Bend-Mishawaka, IN-MI",3119,Other food manufacturing,0,2019,4,31,-0.003590556918626542
C4378,"South Bend-Mishawaka, IN-MI",3121,Beverage manufacturing,109,2019,4,31,-0.8704099169964659
C4378,"South Bend-Mishawaka, IN-MI",3131,"Fiber, yarn, and thread mills",0,2019,4,31,0.9622961306096378
C4378,"South Bend-Mishawaka, IN-MI",3149,Other textile product mills,228,2019,4,31,0.16469641656992415
C4378,"South Bend-Mishawaka, IN-MI",3152,Cut and sew apparel manufacturing,0,2019,4,31,1.1347438858583634
C4378,"South Bend-Mishawaka, IN-MI",3162,Footwear manufacturing,0,2019,4,31,2.214328987324079
C4378,"South Bend-Mishawaka, IN-MI",3212,Plywood and engineered wood product mfg.,0,2019,4,32,0.4687596928510569
C4378,"South Bend-Mishawaka, IN-MI",3219,Other wood product manufacturing,0,2019,4,32,-0.4955445509483966
C4378,"South Bend-Mishawaka, IN-MI",3222,Converted paper product manufacturing,574,2019,4,32,-0.4198862521126607
C4378,"South Bend-Mishawaka, IN-MI",3231,Printing and related support activities,0,2019,4,32,-0.48755326453318404
C4378,"South Bend-Mishawaka, IN-MI",3241,Petroleum and coal products manufacturing,0,2019,4,32,0.6433171049382549
C4378,"South Bend-Mishawaka, IN-MI",3251,Basic chemical manufacturing,0,2019,4,32,0.08663092759527136
C4378,"South Bend-Mishawaka, IN-MI",3252,"Resin, rubber, and artificial fibers mfg.",0,2019,4,32,0.4927565484681985
C4378,"South Bend-Mishawaka, IN-MI",3254,Pharmaceutical and medicine manufacturing,0,2019,4,32,0.9120212361033404
C4378,"South Bend-Mishawaka, IN-MI",3255,"Paint, coating, and adhesive manufacturing",0,2019,4,32,0.5820943287964888
C4378,"South Bend-Mishawaka, IN-MI",3256,"Soap, cleaning compound, and toiletry mfg.",91,2019,4,32,1.0321457636646396
C4378,"South Bend-Mishawaka, IN-MI",3259,Other chemical product and preparation mfg.,0,2019,4,32,0.3339735116093336
C4378,"South Bend-Mishawaka, IN-MI",3261,Plastics product manufacturing,0,2019,4,32,-0.2105902183989238
C4378,"South Bend-Mishawaka, IN-MI",3262,Rubber product manufacturing,0,2019,4,32,0.8192340946847514
C4378,"South Bend-Mishawaka, IN-MI",3271,Clay product and refractory manufacturing,0,2019,4,32,1.4450661498700283
C4378,"South Bend-Mishawaka, IN-MI",3272,Glass and glass product manufacturing,0,2019,4,32,0.904176965585787
C4378,"South Bend-Mishawaka, IN-MI",3273,Cement and concrete product manufacturing,100,2019,4,32,-0.6588327000107147
C4378,"South Bend-Mishawaka, IN-MI",3279,Other nonmetallic mineral products,0,2019,4,32,0.1619411578944187
C4378,"South Bend-Mishawaka, IN-MI",3312,Steel product mfg. from purchased steel,0,2019,4,33,1.3821814836871986
C4378,"South Bend-Mishawaka, IN-MI",3313,Alumina and aluminum production,518,2019,4,33,1.176803397621378
C4378,"South Bend-Mishawaka, IN-MI",3315,Foundries,0,2019,4,33,0.1831696478506504
C4378,"South Bend-Mishawaka, IN-MI",3321,Forging and stamping,484,2019,4,33,0.5910395387703782
C4378,"South Bend-Mishawaka, IN-MI",3323,Architectural and structural metals mfg.,0,2019,4,33,-0.913762004645015
C4378,"South Bend-Mishawaka, IN-MI",3324,"Boiler, tank, and shipping container mfg.",0,2019,4,33,0.1294865585981044
C4378,"South Bend-Mishawaka, IN-MI",3326,Spring and wire product manufacturing,0,2019,4,33,0.8693298919356128
C4378,"South Bend-Mishawaka, IN-MI",3327,Machine shops and threaded product mfg.,974,2019,4,33,-0.7934527963471327
C4378,"South Bend-Mishawaka, IN-MI",3328,"Coating, engraving, and heat treating metals",564,2019,4,33,-0.08857307999933327
C4378,"South Bend-Mishawaka, IN-MI",3329,Other fabricated metal product manufacturing,242,2019,4,33,-0.30119672652378165
C4378,"South Bend-Mishawaka, IN-MI",3331,"Ag., construction, and mining machinery mfg.",0,2019,4,33,-0.9781414349755927
C4378,"South Bend-Mishawaka, IN-MI",3332,Industrial machinery manufacturing,0,2019,4,33,-0.047870496107954116
C4378,"South Bend-Mishawaka, IN-MI",3333,Commercial and service industry machinery,0,2019,4,33,0.8861410439047279
C4378,"South Bend-Mishawaka, IN-MI",3334,HVAC and commercial refrigeration equipment,0,2019,4,33,0.9432427377836271
C4378,"South Bend-Mishawaka, IN-MI",3335,Metalworking machinery manufacturing,0,2019,4,33,-0.519821479657989
C4378,"South Bend-Mishawaka, IN-MI",3336,Turbine and power transmission equipment mfg.,0,2019,4,33,0.7554654404104931
C4378,"South Bend-Mishawaka, IN-MI",3339,Other general purpose machinery manufacturing,289,2019,4,33,-0.39574706504390694
C4378,"South Bend-Mishawaka, IN-MI",3341,Computer and peripheral equipment mfg.,0,2019,4,33,0.8284376589557824
C4378,"South Bend-Mishawaka, IN-MI",3342,Communications equipment manufacturing,0,2019,4,33,0.5391323750636783
C4378,"South Bend-Mishawaka, IN-MI",3343,Audio and video equipment manufacturing,0,2019,4,33,1.7672761657376974
C4378,"South Bend-Mishawaka, IN-MI",3344,Semiconductor and electronic component mfg.,307,2019,4,33,0.5565348082227352
C4378,"South Bend-Mishawaka, IN-MI",3345,Electronic instrument manufacturing,0,2019,4,33,0.4463954849754125
C4378,"South Bend-Mishawaka, IN-MI",3351,Electric lighting equipment manufacturing,0,2019,4,33,2.4922346007841747
C4378,"South Bend-Mishawaka, IN-MI",3353,Electrical equipment manufacturing,0,2019,4,33,0.7994357329843454
C4378,"South Bend-Mishawaka, IN-MI",3359,Other electrical equipment and component mfg.,0,2019,4,33,0.9309220768681818
C4378,"South Bend-Mishawaka, IN-MI",3361,Motor vehicle manufacturing,0,2019,4,33,2.271136270866565
C4378,"South Bend-Mishawaka, IN-MI",3362,Motor vehicle body and trailer manufacturing,82,2019,4,33,-0.20723871018160853
C4378,"South Bend-Mishawaka, IN-MI",3363,Motor vehicle parts manufacturing,0,2019,4,33,-0.27833956350754724
C4378,"South Bend-Mishawaka, IN-MI",3364,Aerospace product and parts manufacturing,830,2019,4,33,0.4615304569771384
C4378,"South Bend-Mishawaka, IN-MI",3369,Other transportation equipment manufacturing,0,2019,4,33,1.216311637041301
C4378,"South Bend-Mishawaka, IN-MI",3371,Household and institutional furniture mfg.,0,2019,4,33,-0.4524841292133238
C4378,"South Bend-Mishawaka, IN-MI",3372,Office furniture and fixtures manufacturing,0,2019,4,33,0.833654144511475
C4378,"South Bend-Mishawaka, IN-MI",3379,Other furniture related product manufacturing,0,2019,4,33,2.0126024979284076
C4378,"South Bend-Mishawaka, IN-MI",3391,Medical equipment and supplies manufacturing,786,2019,4,33,-0.09143773705121078
C4378,"South Bend-Mishawaka, IN-MI",3399,Other miscellaneous manufacturing,293,2019,4,33,-0.3565399550648284
C4378,"South Bend-Mishawaka, IN-MI",4231,Motor vehicle and parts merchant wholesalers,0,2019,4,42,-0.7032244507758931
C4378,"South Bend-Mishawaka, IN-MI",4232,Furniture and furnishing merchant wholesalers,0,2019,4,42,0.5422451184855034
C4378,"South Bend-Mishawaka, IN-MI",4233,Lumber and const. supply merchant wholesalers,0,2019,4,42,-0.580958374288892
C4378,"South Bend-Mishawaka, IN-MI",4234,Commercial equip. merchant wholesalers,0,2019,4,42,0.18339454857854678
C4378,"South Bend-Mishawaka, IN-MI",4235,Metal and mineral merchant wholesalers,0,2019,4,42,-0.12311623246808974
C4378,"South Bend-Mishawaka, IN-MI",4236,Appliance and electric goods merchant whls.,244,2019,4,42,0.026722351499075245
C4378,"South Bend-Mishawaka, IN-MI",4237,Hardware and plumbing merchant wholesalers,174,2019,4,42,-0.5572957231407452
C4378,"South Bend-Mishawaka, IN-MI",4238,Machinery and supply merchant wholesalers,559,2019,4,42,-0.9545045719395232
C4378,"South Bend-Mishawaka, IN-MI",4239,Misc. durable goods merchant wholesalers,0,2019,4,42,-0.6442227645073557
C4378,"South Bend-Mishawaka, IN-MI",4241,Paper and paper product merchant wholesalers,0,2019,4,42,0.1633951815568482
C4378,"South Bend-Mishawaka, IN-MI",4242,Druggists' goods merchant wholesalers,145,2019,4,42,0.7288016681458247
C4378,"South Bend-Mishawaka, IN-MI",4243,Apparel and piece goods merchant wholesalers,0,2019,4,42,0.8041868022640883
C4378,"South Bend-Mishawaka, IN-MI",4244,Grocery and related product wholesalers,0,2019,4,42,-0.75359459568514775
C4378,"South Bend-Mishawaka, IN-MI",4245,Farm product raw material merch. whls.,0,2019,4,42,-1.106865943032403
C4378,"South Bend-Mishawaka, IN-MI",4246,Chemical merchant wholesalers,0,2019,4,42,-0.1381711903459207
C4378,"South Bend-Mishawaka, IN-MI",4247,Petroleum merchant wholesalers,0,2019,4,42,-0.9345008043775985
C4378,"South Bend-Mishawaka, IN-MI",4248,Alcoholic beverage merchant wholesalers,0,2019,4,42,-0.09831015062572541
C4378,"South Bend-Mishawaka, IN-MI",4249,Misc. nondurable goods merchant wholesalers,0,2019,4,42,-0.8541729172327567
C4378,"South Bend-Mishawaka, IN-MI",4251,Electronic markets and agents and brokers,581,2019,4,42,-0.3941191490660937
C4378,"South Bend-Mishawaka, IN-MI",4411,Automobile dealers,0,2019,4,44,-1.106563536015364
C4378,"South Bend-Mishawaka, IN-MI",4412,Other motor vehicle dealers,0,2019,4,44,-1.1863663393442023
C4378,"South Bend-Mishawaka, IN-MI",4413,"Auto parts, accessories, and tire stores",0,2019,4,44,-1.0803578457929353
C4378,"South Bend-Mishawaka, IN-MI",4421,Furniture stores,0,2019,4,44,-0.9627855842451017
C4378,"South Bend-Mishawaka, IN-MI",4422,Home furnishings stores,173,2019,4,44,-0.7890211211160538
C4378,"South Bend-Mishawaka, IN-MI",4431,Electronics and appliance stores,0,2019,4,44,-0.9354889859053469
C4378,"South Bend-Mishawaka, IN-MI",4441,Building material and supplies dealers,1388,2019,4,44,-1.0223850815374647
C4378,"South Bend-Mishawaka, IN-MI",4442,Lawn and garden equipment and supplies stores,99,2019,4,44,-1.1312798563006448
C4378,"South Bend-Mishawaka, IN-MI",4451,Grocery stores,2301,2019,4,44,-1.1305534832575272
C4378,"South Bend-Mishawaka, IN-MI",4452,Specialty food stores,93,2019,4,44,-0.9635526504559008
C4378,"South Bend-Mishawaka, IN-MI",4453,"Beer, wine, and liquor stores",184,2019,4,44,-0.851363290592523
C4378,"South Bend-Mishawaka, IN-MI",4461,Health and personal care stores,0,2019,4,44,-1.1099343498285097
C4378,"South Bend-Mishawaka, IN-MI",4471,Gasoline stations,754,2019,4,44,-1.2194478500109982
C4378,"South Bend-Mishawaka, IN-MI",4481,Clothing stores,0,2019,4,44,-0.8882904002405083
